depth,smac_seed,fit_serial,model_training_rows,selected_proposal_count,selected_proposal_ei_mean,selected_proposal_ei_variance
10,0,69,2323,8,74.31867165145098,292.76935106184686
10,0,70,2339,8,34.93809101354084,1420.9933959861237
10,0,71,2356,8,6.4762294847023,0.07831573728712998
10,0,72,2375,8,6.2982329857300074,0.04535163225960946
10,0,73,2398,8,6.04499411929436,0.02093751723357221
10,0,74,2415,8,6.4577393209675815,0.03536013182963613
10,0,75,2431,8,6.084956970999674,0.02704147231653354
10,0,76,2447,8,6.07235852531573,0.018252263551146106
10,0,77,2466,8,6.505050612127551,0.14455091460723335
10,0,78,2483,8,6.350773162752724,0.044478740256095016
10,0,79,2503,8,6.281633237226741,0.020731035232643795
10,0,80,2520,8,6.238243724423283,0.007312510909223154
10,0,81,2544,8,5.838141384717887,0.062775649700685
10,0,82,2563,8,5.842024147581359,0.07685813383066147
10,0,83,2580,8,5.846407829711059,0.0073155794640514665
10,0,84,2596,8,5.604813738425118,0.016159870770391632
10,0,85,2618,8,5.460030807173393,0.039451193222990566
10,0,86,2634,8,5.881193214570578,0.05413298010222317
10,0,87,2653,8,5.701016863760845,0.02856324385505519
10,0,88,2676,8,5.640539090138159,0.014113751358733894
10,0,89,2692,8,5.82257268246556,0.08301764487366524
10,0,90,2716,8,5.687498631007175,0.10297446661147647
10,0,91,2733,8,5.411092557177302,0.03785072423774472
10,0,92,2769,8,5.469346343256916,0.023371565761118346
10,0,93,2791,8,5.259492859542487,0.004788590301728703
10,0,94,2809,8,5.638957307153197,0.09330708104414548
10,0,95,2827,8,5.439178319374944,0.025591460452834017
10,0,96,2844,8,5.338716940809835,0.05080969108596038
10,0,97,2860,8,5.312290519053092,0.01554543623579406
10,0,98,2878,8,5.644368347811686,0.05367779094277188
10,0,99,2895,8,5.4373895973885595,0.03414104889193777
10,0,100,2912,8,5.518345912210705,0.08000424097557421
10,0,101,2932,8,78.04929805712737,0.026720695106744935
10,0,102,2948,8,5.328358853691366,0.005765932982948968
10,0,103,2966,8,48.68452704444289,1874.869290513266
10,0,104,2983,8,5.262132944296994,0.04337801716322729
10,0,105,2999,8,5.536051926643036,0.027811739258271635
10,0,106,3019,8,5.434762087198772,0.010262196728899343
10,0,107,3035,8,5.0762072372410865,0.08161319283138543
10,0,108,3051,8,5.970686722124202,1.2749132816869682
10,0,109,3067,8,5.2519772696004585,0.09831859883634578
10,0,110,3090,8,5.373386429943456,0.05338532462804477
10,0,111,3106,8,5.344531082502324,0.018451374656541335
10,0,112,3130,8,5.247109600762814,0.06524260553096728
10,0,113,3146,8,5.2749111375185835,0.11451242983915119
10,0,114,3163,8,4.053148249301271,0.03564137935092776
10,0,115,3179,8,4.314982567581965,0.06798937269201075
10,0,116,3196,8,4.119264070102046,0.005956609508082281
10,0,117,3214,8,3.9300267655330607,0.0361384556174799
10,0,118,3239,8,4.037307571450066,0.036630796210253794
10,0,119,3255,8,4.3989922740606415,0.053266666774819366
10,0,120,3273,8,4.056699506661654,0.009823624359822359
10,0,121,3289,8,4.274479342449415,0.005632495658209041
10,0,122,3312,8,4.459169149969936,0.07956064576479824
10,0,123,3329,8,4.403647752415201,0.1428445188408709
10,0,124,3345,8,3.919351585909312,0.018343756510343867
10,0,125,3363,8,4.312192726830323,0.02900478261060406
10,0,126,3379,8,3.9226633988518627,0.05353058110661267
10,0,127,3396,8,4.0609475510837925,0.052476837933688666
10,0,128,3414,8,4.021955146204236,0.05640296846393909
10,0,129,3430,8,106.4225521807291,33.3228493209876
10,0,130,3453,8,84.6345365515622,2.6781665399543257
10,0,131,3469,8,4.819905658980998,0.4512917713700073
10,0,132,3492,8,4.058466536582219,0.11956319097969262
10,0,133,3508,8,4.24471430039743,0.026329350246170117
10,0,134,3524,8,4.165683854938885,0.15249788034397582
10,0,135,3540,8,3.889867556918222,0.03083292199075218
10,0,136,3556,8,3.8810869292530126,0.1610181897814209
10,0,137,3572,8,3.909585315945254,0.19523795064669072
10,0,138,3588,8,4.292301309841176,0.08664768777518682
10,0,139,3604,8,4.05714280625074,0.06794987629878732
10,0,140,3620,8,4.2316450959600935,0.03966344360775095
10,0,141,3636,8,4.015822647533212,0.021631290752895313
10,0,142,3653,8,4.59783978526824,0.13767013987902035
10,0,143,3672,8,4.409704539782288,0.0928145972637984
10,0,144,3689,8,4.4316807164806065,0.05242523112003741
10,0,145,3720,8,4.181315862250009,0.19810164433835117
10,0,146,3736,8,4.359247983593935,0.08987636990073651
10,0,147,3757,8,4.6503431698519035,0.09451116430007006
10,0,148,3774,8,4.077710643474355,0.04257343605583175
10,0,149,3794,8,4.559356166655101,0.11077339918374254
10,0,150,3810,8,4.160462853828092,0.0589932801387613
10,0,151,3829,8,3.6873885658032295,0.04733176468295831
