depth,smac_seed,proposal_trial,model_training_rows,fit_serial,configuration_fingerprint,expected_improvement,predicted_full_training_par10,prediction_variance,prediction_standard_deviation,actual_full_training_par10,signed_error,absolute_error,standardized_error,average_actual_tree_depth
20,1,448,426,8,e01684c52a64d7a0ad0f2ddad9cad239ad35ff64f03abd0bc2bac524d31f3bc1,291.8452273943559,896.1171630781639,1255278.0298472764,1120.3919090422228,393.1600379076871,-502.9571251704768,502.9571251704768,-0.44891177909383,17.65
20,1,520,426,8,c24ae786f4ef75a4e27807264f70d9eda712fbe6f404769eee2deca37c66d46d,291.828844290362,896.1415470156528,1255235.3926230834,1120.372881063748,398.4659247639203,-497.6756222517325,497.6756222517325,-0.4442053450804788,17.65
20,1,522,426,8,b79b8d9b1070ab412444165dd2583d772a0f50625706ce450452929efb9310a1,291.79533166471026,896.0983592857073,1254941.6673359387,1120.2417896757552,383.6692845932161,-512.4290746924912,512.4290746924912,-0.4574272084964886,17.65
20,1,524,523,9,6cfc1c137eface0582ba29938b315882a253465610755c76c83edeeac0453cc1,231.44982041627955,635.0265716597964,759393.21786677,871.4317057961398,396.8826434501494,-238.14392820964707,238.14392820964707,-0.2732789346837901,18.57
20,1,526,523,9,1f36cd6209cde9dcf8eeb0c14f423f6d101b73ab277e32201bd4fbd07568f860,231.42773497288113,635.1977754240472,759590.4904678452,871.5448872363633,396.58750334171333,-238.6102720823339,238.6102720823339,-0.27377852314521434,18.57
20,1,528,523,9,9b6be27504693d8d9a83f599aabb116cbe97af95f0b9b35fa893e7e4dc885ef1,231.1686645302201,635.6167083382223,759135.0558971624,871.2835680174179,402.089890920273,-233.52681741794936,233.52681741794936,-0.2680261926083758,18.57
20,1,530,523,9,471a0c2dea53dec2375a896fb72d6bcc741c9a6912779256ab2c6a8ac294000b,231.11187993628712,635.8472323998299,759276.6560989316,871.3648237672505,401.9382320201758,-233.90900037965406,233.90900037965406,-0.2684398015613874,18.57
20,1,532,523,9,44e01befc8d6b7090a30e4137d39b9d8dd824d668a44ee3bce509994d9908f36,231.11003334012514,635.8620209684229,759293.9554999807,871.3747503227189,543.1119933060926,-92.75002766233035,92.75002766233035,-0.10644103197617308,18.57
20,1,534,523,9,15d0f575d2e799591b6bab0423d79c4bb665059f6e0187acbe902b617a872973,231.10272793341576,635.7580784023123,759079.5742617961,871.2517284125157,396.10683594038994,-239.65124246192238,239.65124246192238,-0.27506544279525785,18.57
20,1,567,523,9,dfb1359ebde21f03eff4954b012575c9702e2076b3bbd07fe24f196003796ff4,231.07868108359816,635.8079702317162,759056.4304205114,871.2384463627116,542.720919033012,-93.08705119870422,93.08705119870422,-0.10684451723558407,18.57
20,1,569,523,9,853341cfe8e7630e46132c4ec6a0d8503822727c00a1145beaffd8a99272f69c,231.02483228423446,636.0360444400625,759207.1060150905,871.3249141480406,400.806315080084,-235.22972935997848,235.22972935997848,-0.2699678679450824,18.57
20,1,571,570,10,034af3a49f6fa469597d1f13fd132f8035290a7b0b33ec2a615004563b094f76,213.14930515602106,617.9150968014332,669730.9205846381,818.3708942677753,386.8439579973317,-231.07113880410145,231.07113880410145,-0.2823550304912161,18.75
20,1,573,570,10,988365471877e96ddd967f1e51480be8d489ff4abeb844ccbbbd5d29adbc0ef1,213.09672691176615,618.0219098268211,669677.2361982659,818.3380940652011,380.39229628052374,-237.62961354629738,237.62961354629738,-0.2903807304947046,18.75
20,1,582,570,10,527f9285805a259a119f3ef91366fd62441a92e219b88946955aa3e43d670f01,178.55050339838226,483.9855906636496,349598.82675687753,591.2688278244318,374.3263184865316,-109.659272177118,109.659272177118,-0.18546432183920178,18.75
20,1,667,570,10,9301c16e9bb375312be0e6fb8b18e81ec37a20228ed5d9a3a88e848b03fcc24f,178.45870773254975,484.1811183793902,349567.1802884407,591.2420657297996,384.53788127321184,-99.64323710617839,99.64323710617839,-0.16853204953064996,18.75
20,1,669,570,10,a0f5da08a31d294206a823089f50d9387d6f1f8cee1eb4f8876d1c3b387bb1dd,177.97669650847183,436.79808174234705,289715.5518984411,538.2523124877785,373.9591499174484,-62.83893182489862,62.83893182489862,-0.11674623660130665,18.75
20,1,672,570,10,69d5bc7c4f55d249bec685dcb4187ea93f8328ae28b81f38c9b701bf51a3bbac,177.3669341673309,438.0507727113711,289562.34483317414,538.1099746642633,379.20449904817525,-58.84627366319586,58.84627366319586,-0.10935733666693528,18.75
20,1,674,570,10,95ced0e3efb5749f10f2de5a67253ba48385a39eafdabc24eaf4a9df8c4c9e6f,177.31855589228718,486.62344631458024,349184.781778766,590.9185914986649,379.76406411835643,-106.8593821962238,106.8593821962238,-0.1808360470182723,18.75
20,1,683,570,10,97235aa7474bff39befdff156e7588c0c9b6fbbad876b9347a6d907894486444,176.9841722924437,438.8483172203533,289478.0044710185,538.0316017401009,380.81094974556356,-58.03736747478973,58.03736747478973,-0.1078698115260988,18.75
20,1,700,699,11,e0b108abdb53bb2e7cb71235c1ad9ee699124d0e494023457672daef59d973fc,139.3154103643227,539.5573179979995,327265.74983670126,572.0714551843164,411.15576469344325,-128.40155330455622,128.40155330455622,-0.22445020135323193,19.21
