depth,smac_seed,trial,config_id,configuration_fingerprint,full_training_par10,smac_incumbent_subset_cost
15,0,70,19,0f93d082ade2dda2dff8838305184b831607f4927b3e78895c39404fe18194e0,417.1078047473021,304.505696698239
15,0,204,56,fc71643d1712634984a6e37926264ec91b4d238c36bf8d5fe6cdcc45c4058c9b,357.7615795790547,322.0984115430287
15,0,327,72,c4719681382dde02421a51c8c342b499435ebeeac27f9275de70b28e8f41490c,319.4707055612044,292.9473966293865
15,0,643,124,8436449495c0480d45199ca57e8fd5a74ee78cca2ae521c7b36892ac9abfb247,250.64860877316409,217.56308304494428
15,0,854,151,7193cbd1496ae91f1841f5d388ca827d0262e2cda9753e8ad0c7205bbce2045c,192.35173077005328,169.61021723494625
15,0,1190,194,fe806763d85347ba6109d6b83d5961df85fa22e824e6f62bc6317f97ba95a1c5,154.06634251469313,127.39237524553673
15,0,1539,230,ec9e49d9992b88698ee0878fc48e4ec20a873315e927236966e1dbc907b0727e,140.78136722150475,136.0840820727141
15,0,1842,242,7d59ba673cc9fcf696ae6edda3bb152f2740ab2e6cbd4d7d76390010eb36fcac,115.63771648069824,113.46401931037587
15,0,2124,255,0f361b0d229e85f29fd9b7b337ed0ec3bf8dc416c1ec264fd5bbff712a3a3e04,100.44190858734979,109.58507949978697
15,0,2182,255,0f361b0d229e85f29fd9b7b337ed0ec3bf8dc416c1ec264fd5bbff712a3a3e04,100.44190858734979,109.58507949978697
15,1,1,1,f62228dd6b640e14f5d1cfc33548f2095554e5cc2b72e0c56e055c2f17135eb5,1872.3081074261906,2163.561767578125
15,1,7,3,285e57f39ca8e16a1a5cd08c6550db48cc7d2a9502bc0491de575fcb5d3d26b4,1483.5922081070717,1496.0010375976562
15,1,21,7,e16bc25a7a2f2a6b166fd337ceba0856740db18a1dcf86255db2fa72f92810a3,1227.2794597741329,1583.4436525617327
15,1,39,11,a5a57a8a71299149221567249c293c01acef5c7788ca3c4b4a41026bfbf57d77,1227.3439095391168,1158.2786927656693
15,1,89,21,590c4bb15b88633af9783cd3bbb2f6118804804052dda53ded48b72f87005d76,1222.9806151496039,1127.891570318313
15,1,118,23,5f0d0109f6a6f43e7359795ebc5c2c41f29b9d30d94e493e734e4b7220dede18,680.6337747361924,649.0546797876773
15,1,149,26,67512e0aa65b470459ce72afcb29d9408d03bdfe34870415fcf745e9962a5364,627.6822208443074,548.0353839214032
15,1,177,27,f5b6e9046700f101ca4ec724b6633abf9df829ae6530b043816e8c1fa5ef4899,598.1909414329914,503.31524866598625
15,1,216,31,0b9b2ec83f10b2caa15524be71918c878ae2af21f9a244599fe8139f2bac290f,583.188307132143,493.61791186178885
15,1,255,34,a3a8c58f920216469d716de2c7f9441695f88e794a0ce8b2403cd19f3a963a8c,571.7872009778264,472.5297031122095
15,1,291,35,9fa93c187579930a0743fe343db95764139b2b1c2cb893340e113e8e29d2d28d,556.2505472481853,458.07609789712086
15,1,466,66,8a937061c9d72e6dee6e197c56386cbe258c0210db39d5c92c442203e9bec76d,373.1999525990149,353.9512321804509
15,1,570,79,4a7a2bb4d37639ea55a35d4e5691c6d415762d4b2af62bd106ca98190b75b8ad,256.20346721302377,248.51906297780292
15,1,744,103,731920a37d427a10e044cb40677ace97c78c65b2ec9e85ab21efeca6711c5472,214.68128023243915,183.60322017808562
15,1,868,108,ab18088e0bfd736d2002117d3ec48a84be25d0b17973681e44fbfce209341304,176.29424515541155,158.63961322881556
15,1,1225,132,943fcc35244e24e54b912d90d862d1e194354fae40ec883678ab60397d78cc5a,150.84416946545997,142.5281264800014
15,1,1544,169,4be2a1252c9e7fca66d32fe3b3fed17188d468a6ab0c45ef0febdee8600e42c0,145.66217030900899,125.47430495397579
15,1,1718,171,36b00d13bd96a75acc233ef6cb5e3f6f4fdc0d1bfde3a1c2abc359709ec4be82,120.03528367220753,99.93604918111835
15,1,1933,184,5c36473c7e1fce60497688ccbfa1c1436371948e05e3dc8abe63f4f7a88f611b,112.9458321525593,94.82035794335863
