method,method_key,family,smac_seed,trial,config_id,configuration_fingerprint,full_training_par10,smac_incumbent_subset_cost,run_complete,observed_endpoint_trial
Saturation k=100,saturation_k100,adaptive policy,0,1,1,ddcd24659e693b2cd6599d452a2a88b8d215210c09d1ed2a0e123b0733ca855e,492.10455601265033,162.6767120361328,False,4336
Saturation k=100,saturation_k100,adaptive policy,0,11,4,0e6308e1062a17fcaf7b6f444d7a053b033cca6e983306ce6bdd674e9586d7f3,245.76989149029058,203.55339813232422,False,4336
Saturation k=100,saturation_k100,adaptive policy,0,35,11,bace39dc2f180f7cf4828e3a220fcad16b8db4dcf030cfd06c26a66b815aa5bd,187.71434122920036,164.92980540882456,False,4336
Saturation k=100,saturation_k100,adaptive policy,0,55,14,7fdad5ee03395a701b71c3f6667d2cf32a7ca33908baaafe0786ec18afc9beee,149.69825669402877,82.99959307057517,False,4336
Saturation k=100,saturation_k100,adaptive policy,0,77,17,b2cd6a92f7193fe06e3c8e3868772964dd584c1cf89da67425482e2a1296c44f,125.71942536433538,91.6394958320786,False,4336
Saturation k=100,saturation_k100,adaptive policy,0,102,20,7fbf38e2f5a5308c1a00c20c191efa6e4b8fd5794b4879ab3d521478d604c248,116.02644272545973,69.93975947499275,False,4336
Saturation k=100,saturation_k100,adaptive policy,0,130,23,7d6ded795a3736fe4e0c034f7b04727f2deee35d0351003cbe758a476d50975a,63.75054346676916,24.51946610601052,False,4336
Saturation k=100,saturation_k100,adaptive policy,0,196,36,e4405507c13278802f123557f1a8a36f39e904a95312d6ca8f5650f257bc070c,58.91477428637445,25.86201147817903,False,4336
Saturation k=100,saturation_k100,adaptive policy,0,864,200,f4f9115200bf6980bfe65fc37807b74f8544316d384831008f4d69a87e9f81d3,56.089707903005184,51.876408816501495,False,4336
Saturation k=100,saturation_k100,adaptive policy,0,1269,287,1969188f51c660e5cd6e58e2949ede31d701a9e9b940478f9af88d1a63bbd4ee,55.65604017656297,55.65604017656297,False,4336
Saturation k=100,saturation_k100,adaptive policy,0,1628,377,ee00fc223ec26183caa5abed2c713653ad5003a5236e4c7f7bde8753729f0a97,53.97380713649715,53.97380713649715,False,4336
Saturation k=100,saturation_k100,adaptive policy,0,4336,377,ee00fc223ec26183caa5abed2c713653ad5003a5236e4c7f7bde8753729f0a97,53.97380713649715,53.97380713649715,False,4336
